,input,filtered,denoised,merged,tabled,nonchim
051,10433,9649,9647,9469,9439,9417
055,9652,8927,8877,8736,8688,8674
058,3295,1443,1441,1347,226,226
062,5016,4583,4542,4449,4424,4419
063,6713,6205,6198,6043,6002,5995
065,4280,3907,3893,3826,3826,3820
070,5808,5331,5286,5184,5146,5134
072,2280,1995,1989,1977,1977,1976
073,11410,10477,10475,10269,10196,10187
076,304,240,240,238,238,238
087,23,21,21,0,0,0
089,3387,3012,3007,2946,2928,2926
096,4662,4284,4247,4193,4193,4189
097,4264,3957,3956,3856,3856,3855
098,3165,2265,2265,2256,1788,1787
101,5536,5135,5069,4978,4958,4951
113,3925,3623,3612,3549,3532,3527
115,4692,4299,4298,4212,4175,4167
116,4240,3867,3807,3757,3736,3696
117,2007,1751,1745,1701,1675,1670
130,8409,7691,7689,7491,7422,7414
157,2540,2268,2266,2249,2249,2244
158,5275,4928,4865,4737,4684,4678
159,6368,5769,5763,5681,5655,5650
172,9182,8508,8463,8388,8348,8337
173,4904,4575,4541,4493,4471,4468
174,3469,3203,3201,3153,3127,3124
175,4969,4569,4499,4422,4406,4401
177,6674,4957,4878,4749,3901,3899
178,5423,2491,2474,2382,186,186
179,6256,5688,5663,5580,5542,5536
180,7107,6642,6637,6528,6467,6452
276,2965,2703,2670,2616,2616,2612
297,4706,4400,4400,4360,4341,4336
300,7173,6659,6647,6525,6488,6478
301,4362,3745,3737,3689,3684,3679
303,3961,3676,3675,3617,3614,3517
304,5914,5524,5515,5451,5416,5407
305,3266,3024,3024,2971,2971,2969
307,2963,2723,2719,2683,2683,2679
308,3765,3482,3456,3429,3429,3425
310,6353,5883,5880,5798,5798,5771
311,1565,1449,1448,1410,1410,1409
315,2499,2299,2299,2260,2258,2256
316,7528,6868,6867,6770,6747,6724
351,3459,3235,3235,3167,3148,3142
377,5762,5315,5310,5257,5240,5232
378,3515,2763,2709,2679,2679,2674
380,5923,2885,2878,2769,0,0
384,7162,6664,6634,6471,6385,6375
386,3919,3537,3531,3477,3442,3436
389,4521,4182,4159,4038,4007,3983
394,3531,3236,3201,3168,3145,3129
397,6086,5573,5573,5531,5485,5477
400,6217,5253,5217,5094,4657,4612
402,1166,980,970,898,898,891
405,3410,3136,3110,3071,3056,3053
408,7553,6998,6992,6763,6703,6615
409,6058,5586,5565,5503,5455,5449
414,3313,1910,1909,1726,1704,1699
416,4883,4525,4498,4420,4374,4360
418,8387,7870,7864,7803,7758,7749
421,2302,2127,2119,2092,2092,2081
425,6438,5925,5923,5783,5703,5689
427,4000,3721,3671,3633,3602,3596
453,5060,4591,4591,4462,4418,4408
455,9490,8799,8746,8595,8528,8508
505,1251,1013,1013,918,918,916
511,12480,11493,11487,11421,11390,11377
513,299,241,241,240,240,240
516,9788,9171,9168,8912,8831,8740
517,7463,6857,6855,6702,6599,6586
525,5547,5176,5175,5047,5004,4976
526,8455,7946,7942,7826,7726,7627
527,5676,3724,3723,3627,1154,1149
530,2828,1100,1100,982,982,982
533,6091,5220,5219,5157,4614,4582
539,4927,3388,3375,3319,1784,1776
540,4095,3611,3586,3509,3403,3399
545,3960,3622,3616,3556,3534,3496
600,14208,13092,13044,12801,12711,12653
604,4672,4351,4311,4196,4196,4119
607,9811,9204,9128,9019,8954,8942
608,9335,8293,8239,8115,8007,7939
609,11704,10930,10924,10772,10701,10696
612,8327,7746,7705,7615,7572,7563
614,9136,8454,8426,8294,8211,8173
616,10022,9249,9176,9071,8919,8895
617,6002,5628,5619,5549,5514,5511
618,8492,7791,7655,7540,7497,7319
619,5782,5288,5268,5213,5171,5168
626,7344,6705,6683,6574,6557,6535
627,11310,10496,10472,10245,10166,10128
630,7346,6788,6772,6708,6666,6637
632,5489,5143,5142,5083,5021,5019
633,4064,3498,3487,3426,3426,3416
